,equity
2016-02-12,102026.1747844993
2016-02-15,103016.01560005969
2016-02-16,103153.12606116816
2016-02-17,104235.18100024457
2016-02-18,105642.58278321383
2016-02-19,105891.00913526118
2016-02-22,106342.48075089419
2016-02-23,106391.36565147588
2016-02-24,106095.3538816169
2016-02-25,105547.3963885427
2016-02-26,106189.73550948955
2016-02-29,106189.66238658679
2016-03-01,105428.99793096534
2016-03-02,105768.99884958084
2016-03-03,106042.96297437209
2016-03-04,105337.55657253343
2016-03-07,105522.90034565126
2016-03-08,106517.23154274262
2016-03-09,106204.43511973137
2016-03-10,105817.08926891048
2016-03-11,105440.19653185218
2016-03-14,104711.40488827592
2016-03-15,104419.88737035859
2016-03-16,103378.15276748397
2016-03-17,103318.86847387077
2016-03-18,104390.19958484129
2016-03-21,104459.71229494557
2016-03-22,104606.74047599822
2016-03-23,105289.94249551107
2016-03-24,105620.25893074383
2016-03-25,106271.74636867436
2016-03-28,106254.2874379958
2016-03-29,106265.42852878319
2016-03-30,105617.31119726379
2016-03-31,105404.76092803154
2016-04-01,105935.98025064895
2016-04-04,105902.11429214908
2016-04-05,105126.72440113072
2016-04-06,104811.46342063388
2016-04-07,104874.06836694005
2016-04-08,104096.27185334888
2016-04-11,103635.65731640355
2016-04-12,103654.84060873577
2016-04-13,103134.18469284788
2016-04-14,103047.95136915994
2016-04-15,103591.64863133285
2016-04-18,103830.38913422493
2016-04-19,104571.06153959461
2016-04-20,105091.50802378038
2016-04-21,106358.55605466453
2016-04-22,106872.51297194378
2016-04-25,105693.01252531992
2016-04-26,104833.50417645366
2016-04-27,103330.05470245081
2016-04-28,103821.28425892221
2016-04-29,104256.40865598987
2016-05-02,103464.77423658884
2016-05-03,103666.8402771755
2016-05-04,104182.4158933356
2016-05-05,104503.97488490572
2016-05-06,104965.507670425
2016-05-09,104395.02759761787
2016-05-10,104456.64454754813
2016-05-11,104913.01362051316
2016-05-12,105638.73199013658
2016-05-13,106828.63559625829
2016-05-16,107256.83590391556
2016-05-17,107312.60592828903
2016-05-18,106945.89963846152
2016-05-19,106757.96401353617
2016-05-20,107254.32194282918
2016-05-23,106651.38922911951
2016-05-24,107395.03679231287
2016-05-25,107582.04603255278
2016-05-26,108017.69959921246
2016-05-27,107513.67169269006
2016-05-30,106836.06892869806
2016-05-31,107749.43671034541
2016-06-01,108153.55917620505
2016-06-02,107393.40950833778
2016-06-03,107550.20297768108
2016-06-06,108187.68675334966
2016-06-07,108676.43590813008
2016-06-08,109366.40921900327
2016-06-09,109134.40776375534
2016-06-10,109667.75209366037
2016-06-13,108762.41490713824
2016-06-14,107935.6688067432
2016-06-15,108077.336493871
2016-06-16,108612.51147962468
2016-06-17,108078.8055924082
2016-06-20,109374.59547281536
2016-06-21,109507.8823325923
2016-06-22,109629.92459126726
2016-06-23,110814.35258446411
2016-06-24,110506.23042283201
2016-06-27,110284.28146229293
2016-06-28,110281.73575091286
2016-06-29,111307.67141042
2016-06-30,110141.6273688147
2016-07-01,109868.60030381383
2016-07-04,109585.0440895954
2016-07-05,109386.15937049595
2016-07-06,108502.60171879962
2016-07-07,108825.84478938236
2016-07-08,109173.52253646955
2016-07-11,109250.96300074084
2016-07-12,110420.21810187135
2016-07-13,110479.84821424366
2016-07-14,110091.03280466085
2016-07-15,109398.4563187691
2016-07-18,110475.62949281087
2016-07-19,111178.00384499096
2016-07-20,112317.20471119588
2016-07-21,112667.67770562675
2016-07-22,112309.97413278496
2016-07-25,113399.53892840717
2016-07-26,111938.70742219024
2016-07-27,111431.19739122242
2016-07-28,110955.61449209732
2016-07-29,110690.84391355806
2016-08-01,111759.00108087316
2016-08-02,111709.31581885602
2016-08-03,110946.40862524149
2016-08-04,110438.28583946476
2016-08-05,110454.78885113484
2016-08-08,110814.35689629846
2016-08-09,110980.03327057799
2016-08-10,111016.13926554572
2016-08-11,111281.70390599042
2016-08-12,111059.40210100729
2016-08-15,111575.47865913862
2016-08-16,112240.43165040412
2016-08-17,110815.56900512447
2016-08-18,111922.25367169718
2016-08-19,113411.7289572108
2016-08-22,111783.8119043517
2016-08-23,112607.53899299016
2016-08-24,111613.1760223367
2016-08-25,111261.77042405138
2016-08-26,110844.08291487166
2016-08-29,110182.14608533375
2016-08-30,109308.61125479903
2016-08-31,108648.7290227223
2016-09-01,108786.73963262752
2016-09-02,108797.48954136454
2016-09-05,108985.84304620016
2016-09-06,109247.31084612705
2016-09-07,109328.67889571226
2016-09-08,109723.53439188741
2016-09-09,109339.15010906183
2016-09-12,109306.49472274909
2016-09-13,109660.12853145668
2016-09-14,110504.06259150802
2016-09-15,110308.16406181444
2016-09-16,110074.80033353157
2016-09-19,110607.42266690754
2016-09-20,110317.83598004658
2016-09-21,110604.00287953884
2016-09-22,111513.56247586876
2016-09-23,112077.27753370692
2016-09-26,112336.77218914434
2016-09-27,113372.93000332288
2016-09-28,114654.59943974562
2016-09-29,113837.28973795362
2016-09-30,115000.30952662203
2016-10-03,115097.8305652523
2016-10-04,115314.67275655628
2016-10-05,116079.82970364473
2016-10-06,116366.3369657181
2016-10-07,114746.39012998386
2016-10-10,114833.39106256684
2016-10-11,115000.55588110292
2016-10-12,115725.61169641528
2016-10-13,115272.05343161013
2016-10-14,115422.00514459933
2016-10-17,115795.45486019239
2016-10-18,116157.95380643918
2016-10-19,114904.74065004429
2016-10-20,113416.79981216644
2016-10-21,111882.54711410085
2016-10-24,110708.34300100616
2016-10-25,111346.702916381
2016-10-26,111708.99345212519
2016-10-27,111460.30845688915
2016-10-28,111943.2471865315
2016-10-31,111843.02328309842
2016-11-01,112402.95302191692
2016-11-02,112447.80655130657
2016-11-03,113062.07803535135
2016-11-04,112823.92325462736
2016-11-07,112594.73721193708
2016-11-08,113591.53897899938
2016-11-09,114032.37385340515
2016-11-10,114328.72508149596
2016-11-11,113783.25399033839
2016-11-14,112800.88072918987
2016-11-15,112619.14717677694
2016-11-16,112066.40125893053
2016-11-17,112040.6889896486
2016-11-18,110694.61011238881
2016-11-21,110660.58660132576
2016-11-22,110511.48267279366
2016-11-23,110643.52531753862
2016-11-24,109869.68245503196
2016-11-25,110031.42764788122
2016-11-28,109717.81507726
2016-11-29,109467.65258060326
2016-11-30,109909.13471283898
2016-12-01,109956.63097107793
2016-12-02,110269.85270270577
2016-12-05,110771.55951374583
2016-12-06,111832.96473444869
2016-12-07,111540.79095369934
2016-12-08,112846.66462610138
2016-12-09,113953.29971369183
2016-12-12,114308.53978166592
2016-12-13,114884.93507739068
2016-12-14,114653.41109076649
2016-12-15,115464.84035796765
2016-12-16,113937.34286453582
2016-12-19,113734.78448627629
2016-12-20,113076.23971142691
2016-12-21,113418.50675969939
2016-12-22,113168.50246786201
2016-12-23,113620.04977999182
2016-12-26,113957.44961337959
2016-12-27,113771.01429399228
2016-12-28,113423.15483515275
2016-12-29,113596.06210645639
2016-12-30,112886.62849508821
2017-01-02,112364.92707626641
2017-01-03,112212.06901447024
2017-01-04,111820.36036619457
2017-01-05,111713.7372440406
2017-01-06,111864.87149889713
2017-01-09,111611.19242114243
2017-01-10,111320.17921756514
2017-01-11,111467.43037205642
2017-01-12,111761.96911869191
2017-01-13,111641.63711670198
2017-01-16,111421.42861107351
2017-01-17,111263.54216475076
2017-01-18,111400.74402497611
2017-01-19,111216.69582759608
2017-01-20,111767.54230175394
2017-01-23,111794.90074186194
2017-01-24,111710.43264314177
2017-01-25,111537.24364902184
2017-01-26,112159.8080526057
2017-01-27,112423.6787925128
2017-01-30,112259.43490153292
2017-01-31,112360.01450648441
2017-02-01,112116.04188598775
2017-02-02,112098.9934403936
2017-02-03,112178.24725209607
2017-02-06,112436.62563224946
2017-02-07,112751.92405676395
2017-02-08,111969.61229873878
2017-02-09,111805.81873555946
2017-02-10,111304.3648190594
2017-02-13,111400.3500287744
2017-02-14,111346.70488164038
2017-02-15,111347.19915598657
2017-02-16,111655.16532019498
2017-02-17,111771.879341095
2017-02-20,111415.79040962143
2017-02-21,110826.91618673499
2017-02-22,110488.47675449269
2017-02-23,111082.25513903829
2017-02-24,111410.03309061135
2017-02-27,111465.68985136342
2017-02-28,112193.32628688813
2017-03-01,112183.41221767693
2017-03-02,112209.54739378617
2017-03-03,111974.88690015826
2017-03-06,112072.81111081972
2017-03-07,111813.88253582643
2017-03-08,111507.89265766907
2017-03-09,111925.29129598416
2017-03-10,111472.84800924329
2017-03-13,111379.15986233106
2017-03-14,111441.41321022787
2017-03-15,111707.39667889685
2017-03-16,111358.14528947575
2017-03-17,111673.7028901918
2017-03-20,112079.13865564072
2017-03-21,112218.41357973273
2017-03-22,112387.61478456523
2017-03-23,112511.29649410854
2017-03-24,111873.29834698852
2017-03-27,111738.20681329635
2017-03-28,111537.28325220264
2017-03-29,111864.63679473945
2017-03-30,112356.53679805007
2017-03-31,112898.05588822496
2017-04-03,113201.04389243003
2017-04-04,113534.88175138731
2017-04-05,113494.75884933748
2017-04-06,113342.69379033959
2017-04-07,113591.95613357188
2017-04-10,112668.60313274407
2017-04-11,112481.85805948489
2017-04-12,112668.0572756225
2017-04-13,112849.60167032886
2017-04-14,112477.33508433463
2017-04-17,112025.03798704252
2017-04-18,111559.13897922733
2017-04-19,111341.21732532282
2017-04-20,111509.52219746413
2017-04-21,111355.50380947934
2017-04-24,111259.85232121186
2017-04-25,111200.8328216156
2017-04-26,110517.83425216575
2017-04-27,110274.18898179881
2017-04-28,109973.73297359988
2017-05-01,109758.50499410291
2017-05-02,110605.346636655
2017-05-03,111259.28133234501
2017-05-04,110370.44715012879
2017-05-05,109981.18337184457
2017-05-08,110614.84306750791
2017-05-09,110196.82652002665
2017-05-10,110510.9361776475
2017-05-11,110465.21287565658
2017-05-12,110058.25761257549
2017-05-15,109902.84755066606
2017-05-16,110671.41790466079
2017-05-17,110417.40450900294
2017-05-18,111079.23223596625
2017-05-19,111329.68164579288
2017-05-22,110481.09428693636
2017-05-23,109690.37770569995
2017-05-24,110077.2828645577
2017-05-25,111517.50520428797
2017-05-26,111359.04937178857
2017-05-29,111461.49704146717
2017-05-30,110673.19047065434
2017-05-31,110942.94258127415
2017-06-01,111592.44655988683
2017-06-02,111584.08301008362
2017-06-05,111300.07415025173
2017-06-06,111323.12151878816
2017-06-07,111247.4550100272
2017-06-08,111377.40281980495
2017-06-09,111750.83702376335
2017-06-12,111842.33949730206
2017-06-13,112152.83655934207
2017-06-14,112201.17798509427
2017-06-15,112169.04284958485
2017-06-16,112418.35442704234
2017-06-19,112325.9835020637
2017-06-20,112353.55351617694
2017-06-21,112276.45647763084
2017-06-22,112050.51105436291
2017-06-23,112036.26298561951
2017-06-26,111820.12505880279
2017-06-27,111840.04627006325
2017-06-28,111715.97706061274
2017-06-29,111396.68063436187
2017-06-30,111455.06659511746
2017-07-03,111398.66927808778
2017-07-04,111387.55243294682
2017-07-05,111274.87060130082
2017-07-06,111398.18626902327
2017-07-07,111481.61450604853
2017-07-10,111373.70811174618
2017-07-11,111371.77350666428
2017-07-12,111672.21154982194
2017-07-13,111881.0724214131
2017-07-14,112094.70242885961
2017-07-17,111820.42386882132
2017-07-18,111799.93822194116
2017-07-19,111806.77222696951
2017-07-20,111770.27976669894
2017-07-21,111959.27437567653
2017-07-24,111826.48402935381
2017-07-25,111947.70927688619
2017-07-26,112346.16667744264
2017-07-27,112355.8855291188
2017-07-28,112591.67092654946
2017-07-31,112538.6283971478
2017-08-01,112545.12845117995
2017-08-02,112647.34161667916
2017-08-03,112698.39986826642
2017-08-04,112850.83327888392
2017-08-07,112509.12284460553
2017-08-08,112655.76423712792
2017-08-09,112519.40023871152
2017-08-10,112094.4397960329
2017-08-11,111965.833006458
2017-08-14,112140.34051903889
2017-08-15,112386.55704566548
2017-08-16,112501.07440308789
2017-08-17,112544.05275115074
2017-08-18,112389.34196877171
2017-08-21,112204.16652462319
2017-08-22,112336.11769427979
2017-08-23,112147.59024847021
2017-08-24,111934.43483815633
2017-08-25,111711.3949837137
2017-08-28,111458.48728191433
2017-08-29,111070.80902540311
2017-08-30,111081.05326851827
2017-08-31,111112.69893551592
2017-09-01,111084.61914877298
2017-09-04,111358.6747557765
2017-09-05,111336.31630935828
2017-09-06,111427.5222852028
2017-09-07,111426.14366180921
2017-09-08,111553.52046479366
2017-09-11,111562.884009256
2017-09-12,111477.76422453213
2017-09-13,111801.04807275295
2017-09-14,111738.03345661759
2017-09-15,111720.46163675898
2017-09-18,111812.48478211129
2017-09-19,111698.4561935509
2017-09-20,111588.3887512941
2017-09-21,111572.75945450949
2017-09-22,111575.61117860086
2017-09-25,111632.83070281675
2017-09-26,111538.30537578366
2017-09-27,111665.17279590918
2017-09-28,111572.5119715839
2017-09-29,111506.62272111226
2017-10-02,111594.5895048723
2017-10-03,111605.87133952038
2017-10-04,111677.0094590077
2017-10-05,111987.7632493365
2017-10-06,111883.64489925044
2017-10-09,112009.39308448433
2017-10-10,112055.72101461959
2017-10-11,111969.44634368295
2017-10-12,111895.9029612152
2017-10-13,112135.38583605018
2017-10-16,112245.15260820073
2017-10-17,112273.85312500614
2017-10-18,112667.4982507732
2017-10-19,112516.59380532651
2017-10-20,112496.23854363507
2017-10-23,112699.22497021672
2017-10-24,112767.42292645753
2017-10-25,112684.62336018878
2017-10-26,112629.247059126
2017-10-27,112483.26200291076
2017-10-30,112240.07278080644
2017-10-31,112342.70821936236
2017-11-01,112550.11477714982
2017-11-02,112401.89245834584
2017-11-03,111373.39565520751
2017-11-06,112057.41376604832
2017-11-07,113472.64001504569
2017-11-08,113532.57308826652
2017-11-09,113270.7416090634
2017-11-10,112323.07901561825
2017-11-13,111834.59139902459
2017-11-14,110948.35323857513
2017-11-15,110724.15542980637
2017-11-16,112168.2399030864
2017-11-17,111612.53220311074
2017-11-20,111798.96551136584
2017-11-21,111612.7590794715
2017-11-22,111386.54571450189
2017-11-23,112453.20448728108
2017-11-24,111974.35465157755
2017-11-27,112505.51142637299
2017-11-28,112636.56132208169
2017-11-29,112958.5697949035
2017-11-30,112511.70339187891
2017-12-01,112111.36535687077
2017-12-04,113029.62841563753
2017-12-05,113427.15412263844
2017-12-06,114190.43788230594
2017-12-07,114832.0034924778
2017-12-08,114910.08203828582
2017-12-11,114320.58263824007
2017-12-12,113641.03634646232
2017-12-13,113399.07772106794
2017-12-14,112902.26840765245
2017-12-15,112584.05444838523
2017-12-18,111834.57509928249
2017-12-19,112223.86360370855
2017-12-20,112050.11864772561
2017-12-21,112718.5066526156
2017-12-22,113551.47155365044
2017-12-25,114153.07620768114
2017-12-26,112961.91057198172
2017-12-27,113492.33576680845
2017-12-28,113146.33777258557
2017-12-29,113365.39780712998
2018-01-01,112641.76874903556
2018-01-02,111596.75411005173
2018-01-03,111969.04462363811
2018-01-04,111531.15685541717
2018-01-05,111257.40715783004
2018-01-08,110850.10571752216
2018-01-09,111187.88448114731
2018-01-10,111119.2806837202
2018-01-11,110094.110344403
2018-01-12,109520.29950814432
2018-01-15,109875.36757178856
2018-01-16,110661.77472122308
2018-01-17,110959.52423937089
2018-01-18,111652.70519836959
2018-01-19,111171.23121135839
2018-01-22,110788.18921970874
2018-01-23,109845.3662660509
2018-01-24,109377.09290210296
2018-01-25,108870.05743250047
2018-01-26,108167.04771372024
2018-01-29,107504.28641763411
2018-01-30,107717.48996812734
2018-01-31,107811.15706039841
2018-02-01,108340.76335015097
2018-02-02,106926.39175260087
2018-02-05,107637.81296526645
2018-02-06,107732.37442810352
2018-02-07,107784.47183924493
2018-02-08,108331.70994985818
2018-02-09,108604.82134242583
2018-02-12,108508.43958490151
2018-02-13,108582.452721186
2018-02-14,108674.64677168262
2018-02-15,108223.12504924087
2018-02-16,108149.09024893418
2018-02-19,108262.89640752373
2018-02-20,107566.4549130334
2018-02-21,107495.67855290548
2018-02-22,107760.1465074574
2018-02-23,106161.76569129272
2018-02-26,106337.5478689687
2018-02-27,106344.686902479
2018-02-28,105691.26558959646
2018-03-01,105124.70136375046
2018-03-02,105091.16040585871
2018-03-05,104576.78631254578
2018-03-06,104798.74318019795
2018-03-07,104873.91593072098
2018-03-08,105149.15751362416
2018-03-09,105501.29693979584
2018-03-12,105870.95900364565
2018-03-13,106210.29795052166
2018-03-14,106407.46211847018
2018-03-15,106212.93362598027
2018-03-16,106271.70790852724
2018-03-19,105793.37848326497
2018-03-20,105557.29774710073
2018-03-21,105762.70241195899
2018-03-22,106021.4017048533
2018-03-23,105839.90967619696
2018-03-26,105359.36418772578
2018-03-27,105114.24639463928
2018-03-28,105316.479926522
2018-03-29,105237.18818282793
2018-03-30,105794.86811857778
2018-04-02,106248.08492964707
2018-04-03,106672.03888091714
2018-04-04,107637.44765443359
2018-04-05,107754.98243905282
2018-04-06,108647.4765544619
2018-04-09,109202.28838799305
2018-04-10,108920.17011910524
2018-04-11,109810.68855346473
2018-04-12,109168.23577404514
2018-04-13,109201.87333249606
2018-04-16,108763.41298068363
2018-04-17,108596.28734150657
2018-04-18,109409.15555674586
2018-04-19,107295.09628995563
2018-04-20,107314.8360691415
2018-04-23,107636.74394499224
2018-04-24,107825.76406449648
2018-04-25,107756.41844629303
2018-04-26,107004.0130126556
2018-04-27,107558.73328911737
2018-04-30,107348.81008473257
2018-05-01,106742.93130893647
2018-05-02,106686.15053350377
2018-05-03,106878.6596825506
2018-05-04,108129.92818384933
2018-05-07,108076.01408178455
2018-05-08,107993.58381735736
2018-05-09,108261.86192157204
2018-05-10,108435.79298738118
2018-05-11,108283.26805322692
2018-05-14,107861.91015412538
2018-05-15,108435.88778226421
2018-05-16,107984.59741575582
2018-05-17,106509.63263281557
2018-05-18,107225.23508736848
2018-05-21,108306.18055628355
2018-05-22,108469.7508060152
2018-05-23,109067.12157633623
2018-05-24,109583.83077584027
2018-05-25,109884.75278430004
2018-05-28,109259.46146244924
2018-05-29,109132.34148321013
2018-05-30,109303.85211899153
2018-05-31,108762.84617697584
2018-06-01,110048.50950203517
2018-06-04,110036.74806629536
2018-06-05,109972.81188419437
2018-06-06,109984.82289045773
2018-06-07,110177.01414161432
2018-06-08,110330.61436656363
2018-06-11,110087.4075708386
2018-06-12,110101.82333503073
2018-06-13,110134.08374900777
2018-06-14,110239.01909149428
2018-06-15,110499.28639042015
2018-06-18,110517.8438474551
2018-06-19,110440.69510226732
2018-06-20,110409.4757283762
2018-06-21,110627.78493269529
2018-06-22,110586.38188251178
2018-06-25,110693.38990951433
2018-06-26,110762.20139483172
2018-06-27,110801.62955443273
2018-06-28,111035.43654996472
2018-06-29,111042.359833103
2018-07-02,110782.43796666816
2018-07-03,110937.63681485785
2018-07-04,111136.44076668003
2018-07-05,111271.00911054353
2018-07-06,111326.45682627668
2018-07-09,111437.4868782089
2018-07-10,111394.02976387987
2018-07-11,111278.56763833373
2018-07-12,111305.00278554752
2018-07-13,111455.42611603501
2018-07-16,111384.29830474564
2018-07-17,111214.48027668677
2018-07-18,111142.33772099535
2018-07-19,111231.7071414561
2018-07-20,111276.95333955802
2018-07-23,111352.2119225029
2018-07-24,111422.03936740824
2018-07-25,111339.50264023415
2018-07-26,111462.37829020055
2018-07-27,111489.76407010088
2018-07-30,111595.37363136966
2018-07-31,111769.9452102915
2018-08-01,111877.23751713625
2018-08-02,111862.90114541799
2018-08-03,112081.43283013297
2018-08-06,111880.2967266628
2018-08-07,111599.75989427985
2018-08-08,111566.913475995
2018-08-09,111319.32733592835
2018-08-10,111323.29560486585
2018-08-13,111306.4357017679
2018-08-14,111532.45217106183
2018-08-15,111250.43071648883
2018-08-16,111325.41915786345
2018-08-17,111029.6537000454
2018-08-20,111157.60454614718
2018-08-21,111326.69285030673
2018-08-22,111432.68305565111
2018-08-23,111352.57646878404
2018-08-24,110580.34220895385
2018-08-27,110685.31827735293
2018-08-28,111167.14412273226
2018-08-29,110780.48778283481
2018-08-30,110436.36592540628
2018-08-31,109937.18866218031
2018-09-03,110245.23693447685
2018-09-04,110385.6803891497
2018-09-05,110537.60536803174
2018-09-06,110570.35953121106
2018-09-07,110586.98912831018
2018-09-10,110944.63603866199
2018-09-11,111010.25110338788
2018-09-12,111192.88278178795
2018-09-13,110869.4652799089
2018-09-14,110930.59155126353
2018-09-17,111007.43724297541
2018-09-18,110914.37196533434
2018-09-19,111066.58410134201
2018-09-20,111244.6808317035
2018-09-21,111001.37424275611
2018-09-24,110922.09316102287
2018-09-25,111056.2465007406
2018-09-26,110849.75943468654
2018-09-27,111021.3677715506
2018-09-28,110962.89861886376
2018-10-01,110713.01790601554
2018-10-02,110642.12141899632
2018-10-03,110838.47413852862
2018-10-04,110673.34088276782
2018-10-05,110576.57677311795
2018-10-08,110628.26020110579
2018-10-09,110479.27804564696
2018-10-10,110522.00398597303
2018-10-11,110486.00089719011
2018-10-12,110542.45403088743
2018-10-15,110310.95733337862
2018-10-16,110373.49356022675
2018-10-17,110415.93508397482
